 not sufficient 	 not enough 
 not being 	 are without 
 not be 	 be without 
 not is 	 were without 
 not being 	 been without 
 not being 	 be without 
 not exist 	 not impossible 
 not is 	 was without 
 not been 	 was without 
 not been 	 is without 
 not being 	 is without 
 not be 	 is without 
 not been 	 were without 
 fall outside 	 not under 
 n't reach 	 not call 
 not adequately 	 insufficient , 
 not support 	 not run 
 not appear 	 not on 
 not feasible 	 , unable 
 rather too 	 not too 
 not since 	 now that 
 not long 	 too long 
 not lead 	 are no 
 not lead 	 is no 
 not lead 	 be no 
 not by 	 by either 
 not that 	 n't start 
 not possibly 	 not always 
 , both 	 not only 
 of not 	 not yet 
 not accessible 	 not possibly 
 not matter 	 irrespective of 
 not exclude 	 excludes the 
 not leave 	 n't go 
 not leaving 	 n't go 
 not yet 	 not able 
 not want 	 not refuse 
 're not 	 not going 
 're not 	 not go 
 not and 	 nor will 
 not nearly 	 far now 
 not they 	 then not 
 not well 	 little about 
 not mean 	 not for 
 certainly not 	 not an 
 not matter 	 n't help 
 not possibly 	 inability to 
 , inadequate 	 not sufficiently 
 not particularly 	 not an 
 not responsible 	 not sure 
 not an 	 just not 
 n't believe 	 not trust 
 not 	 s not 
 not of 	 not address 
 not run 	 not involve 
 should not 	 not possible 
 not practical 	 impossible , 
 not qualify 	 not attend 
 not a 	 not come 
 not as 	 not because 
 not even 	 not currently 
 less 	 not more 
 not fall 	 not stand 
 probably right 	 not wrong 
 not implement 	 not take 
 not part 	 not enter 
 nothing to 	 not , 
 not enough 	 not yet 
 not being 	 not appear 
 not been 	 not appear 
 not be 	 not appear 
 smooth 	 not difficult 
 n't care 	 not wish 
 not by 	 insufficient to 
 not available 	 not feasible 
 not least 	 particular in 
 not enjoy 	 not share 
 not understand 	 not consider 
 not stop 	 no big 
 not ever 	 she never 
 not go 	 do no 
 invalid 	 not ok 
 not how 	 n't you 
 be different 	 not add 
 not something 	 not that 
 n / 	 not available 
 not very 	 bit of 
 n't even 	 not again 
 not him 	 n't he 
 maybe not 	 not that 
 not belong 	 n't one 
 not in 	 not produce 
 not within 	 step into 
 neither in 	 not within 
 not happen 	 not , 
 n't get 	 not go 
 n't got 	 not go 
 n't get 	 not going 
 n't gotten 	 not go 
 n't right 	 not acceptable 
 n't real 	 not correct 
 not reach 	 n't touch 
 not entirely 	 not a 
 difficult for 	 not clear 
 not to 	 n't fuck 
 not be 	 not improved 
 not be 	 not improve 
 never in 	 not on 
 not at 	 step at 
 not accept 	 not ready 
 not available 	 not win 
 n't afford 	 not pay 
 not wish 	 would want 
 none 	 not applicable 
 not just 	 - not 
 frequently 	 not often 
 not need 	 not cause 
 not share 	 not enjoy 
 of little 	 not many 
 n't answer 	 not complete 
 n't answered 	 not complete 
 not now 	 , not 
 not just 	 - no 
 not know 	 not to 
 n't come 	 not yet 
 n't even 	 not still 
 not adequate 	 too little 
 nor to 	 not be 
 not think 	 not support 
 often 	 not always 
 not from 	 n't a 
 n't exist 	 not have 
 not address 	 n't involve 
 n't here 	 not in 
 not an 	 not particularly 
 not consider 	 not understand 
 prohibits a 	 not permissible 
 nor with 	 not over 
 not allow 	 not turn 
 nor have 	 not and 
 nor has 	 not and 
 nor had 	 not and 
 not wish 	 not ready 
 not but 	 this only 
 not fit 	 not covered 
 not fit 	 not cover 
 not they 	 do n't 
 not they 	 does n't 
 not need 	 not lead 
 not include 	 not know 
 not an 	 rather than 
 not know 	 not include 
 not something 	 nothing ... 
 not helpful 	 not needed 
 not helpful 	 not need 
 not over 	 nor with 
 not really 	 n't no 
 not everything 	 n't have 
 not by 	 do n't 
 not by 	 does n't 
 miserable , 	 not happy 
 not above 	 not affect 
 not this 	 not unless 
 badly , 	 not properly 
 not less 	 not so 
 not among 	 not involve 
 n't we 	 not that 
 not likely 	 n't be 
 not able 	 impossible ... 
 n't think 	 not underestimate 
 as not 	 not now 
 not gonna 	 're gonna 
 not here 	 not having 
 not here 	 not have 
 n't enjoy 	 not really 
 not include 	 not applicable 
 not on 	 not enough 
 n't like 	 not who 
 n't like 	 not in 
 not been 	 absolutely no 
 not being 	 absolutely no 
 not be 	 absolutely no 
 not even 	 and not 
 not favour 	 not to 
 n't quite 	 not like 
 not in 	 n't that 
 could n't 	 not impossible 
 not succeed 	 n't allow 
 not succeed 	 n't allowed 
 not matter 	 really nothing 
 no more 	 not another 
 n't pass 	 not turn 
 difficult times 	 not easy 
 n't he 	 not true 
 not the 	 n't all 
 all still 	 not again 
 not stay 	 n't keep 
 not staying 	 n't keep 
 not yet 	 not done 
 not yet 	 not do 
 and no 	 not without 
 not what 	 no real 
 not on 	 n't any 
 not the 	 nor does 
 not the 	 nor did 
 not the 	 nor do 
 not an 	 one tough 
 not claim 	 not be 
 mutually exclusive 	 not consistent 
 not really 	 simply not 
 not infrequently 	 and frequently 
 doubtful whether 	 not likely 
 admissible 	 not permissible 
 n't look 	 not so 
 n't step 	 not working 
 n't step 	 not work 
 not at 	 n't own 
 not least 	 particular of 
 not going 	 's not 
 not go 	 's not 
 not by 	 steps a 
 nor in 	 not on 
 not gonna 	 not intend 
 not only 	 no more 
 not been 	 failures to 
 not be 	 failure to 
 not after 	 not to 
 not been 	 failure to 
 not being 	 failure to 
 not being 	 failures to 
 not deal 	 n't carry 
 n't carry 	 not deal 
 not be 	 n't we 
 not being 	 n't we 
 not they 	 now they 
 not being 	 n't possibly 
 not been 	 n't possibly 
 not be 	 n't possibly 
 not include 	 not some 
 not a 	 n't my 
 more so 	 not least 
 n't you 	 not any 
 clearly specify 	 not specify 
 not directly 	 in direct 
 not going 	 n't suit 
 not go 	 n't suit 
 not have 	 not possible 
 nothing of 	 not a 
 not least 	 certainly not 
 not as 	 not share 
 difficult as 	 not readily 
 not an 	 not create 
 not true 	 not a 
 not in 	 n't quite 
 not want 	 not because 
 particularly when 	 not if 
 not like 	 different kind 
 not and 	 only and 
 not who 	 step that 
 n't seen 	 not sure 
 n't see 	 not sure 
 n't start 	 not that 
 n't like 	 not care 
 not get 	 not eligible 
 not getting 	 not eligible 
 really not 	 not a 
 not in 	 not against 
 n't need 	 not want 
 not to 	 that neither 
 not possible 	 not his 
 n't give 	 not about 
 did n't 	 not there 
 does n't 	 not there 
 do n't 	 not there 
 n't your 	 not her 
 not something 	 they no 
 not actually 	 n't that 
 bogus 	 not correct 
 not widely 	 bit about 
 not . 	 contrary ! 
 nor indeed 	 not and 
 difficult times 	 not readily 
 not attend 	 not answer 
 so unreal 	 not real 
 n't really 	 not if 
 not remain 	 not fall 
 n't believe 	 not sure 
 n't quite 	 not sufficient 
 not one 	 none whatsoever 
 not readily 	 difficult as 
 not his 	 n't he 
 n't no 	 not on 
 not some 	 not once 
 not leave 	 to let 
 not have 	 not really 
 're not 	 not necessarily 
 not allow 	 not agree 
 not allowed 	 not agree 
 n't allow 	 not provide 
 n't allowed 	 not provide 
 not up 	 either not 
 not agree 	 not allow 
 not agree 	 not allowed 
 not accepted 	 agree to 
 not accept 	 agree to 
 not as 	 much less 
 not right 	 , wrong 
 guess not 	 not anymore 
 not been 	 n't belong 
 not be 	 n't belong 
 not being 	 n't belong 
 not maintain 	 not necessary 
 not readily 	 hard not 
 not by 	 neither the 
 not so 	 less than 
 not propose 	 n't expect 
 n't see 	 not thinking 
 n't seen 	 not think 
 n't see 	 not think 
 not practical 	 impossible to 
 n't at 	 not even 
 n't matter 	 not care 
 not actually 	 really all 
 not good 	 not clear 
 not that 	 not otherwise 
 not the 	 not support 
 not taking 	 n't fuck 
 not take 	 n't fuck 
 good enough 	 not enough 
 not reflect 	 not in 
 no single 	 not the 
 n't look 	 not really 
 not capable 	 not been 
 not capable 	 not be 
 of uncertainty 	 not sure 
 of adverse 	 not conducive 
 not taken 	 n't last 
 not take 	 n't last 
 n't know 	 not acknowledge 
 not think 	 considered it 
 not think 	 consider it 
 not think 	 considering it 
 n't that 	 not here 
 wrong here 	 not acceptable 
 never a 	 not any 
 not ready 	 not wish 
 n't you 	 not of 
 not present 	 not lead 
 not yours 	 not gonna 
 not happen 	 not go 
 not happen 	 not going 
 not to 	 has n't 
 not to 	 had n't 
 not to 	 have n't 
 not with 	 without the 
 not even 	 neither the 
 not less 	 least , 
 not control 	 n't the 
 not appear 	 not favour 
 not even 	 no more 
 not with 	 on without 
 not easily 	 difficult times 
 , either 	 not even 
 n't had 	 not about 
 n't have 	 not about 
 not by 	 n't a 
 not support 	 not assume 
 not have 	 not play 
 not even 	 they not 
 unacceptable 	 not possible 
 not accept 	 rejecting the 
 not accept 	 rejected the 
 not accepted 	 rejected the 
 not accept 	 reject the 
 not have 	 n't exist 
 not accepted 	 reject the 
 not view 	 not need 
 not yet 	 no . 
 not necessarily 	 not indicate 
 not own 	 have no 
 more difficult 	 not easily 
 n't love 	 not enjoy 
 necessarily have 	 not fail 
 n't expect 	 not rely 
 neither the 	 not by 
 n't mention 	 not include 
 , ever 	 not previously 
 not whether 	 n't that 
 not consistently 	 not as 
 not enough 	 not of 
 not then 	 they not 
 not represent 	 not about 
 difficult by 	 not clear 
 not permissible 	 -rrb- prohibits 
 do n't 	 not you 
 hard enough 	 not easy 
 negatively , 	 not , 
 be impossible 	 not practical 
 and fail 	 not and 
 and failed 	 not and 
 n't asked 	 not apply 
 n't ask 	 not apply 
 could n't 	 not be 
 not 	 impossible to 
 not correct 	 n't real 
 not result 	 n't give 
 not result 	 n't given 
 not something 	 n't anything 
 not afford 	 not have 
 not act 	 not mean 
 nothingg 	 not much 
 also bear 	 not also 
 not even 	 yet not 
 not benefit 	 not fall 
 not through 	 not share 
 not do 	 either not 
 not something 	 not because 
 not able 	 not practical 
 not get 	 should not 
 not getting 	 should not 
 not quite 	 not of 
 not difficult 	 , easily 
 not real 	 so unreal 
 good enough 	 not adequate 
 not fall 	 n't match 
 not yet 	 - no 
 never ever 	 not previously 
 n't care 	 not love 
 quite natural 	 not surprising 
 not very 	 not just 
 not alone 	 than merely 
 not really 	 n't look 
 n't her 	 not that 
 n't start 	 not this 
 not include 	 n't get 
 not include 	 n't got 
 n't only 	 not about 
 not occur 	 were no 
 not occur 	 is no 
 not occur 	 are no 
 not occur 	 be no 
 not favour 	 not appear 
 not 	 not very 
 n't take 	 not adopt 
 n't taken 	 not adopt 
 notably in 	 not least 
 not simply 	 did not 
 not simply 	 do not 
 not simply 	 does not 
 most likely 	 not likely 
 not particularly 	 not being 
 not particularly 	 not be 
 not particularly 	 not been 
 not such 	 by no 
 far away 	 not close 
 not charge 	 n't require 
 not had 	 absence of 
 not having 	 absence of 
 not have 	 absence of 
 not fail 	 necessarily be 
 not part 	 not become 
 not gonna 	 rather not 
 absolutely not 	 not likely 
 not to 	 unable to 
 not for 	 n't take 
 not me 	 n't know 
 of no 	 not really 
 of false 	 not true 
 not very 	 a relatively 
 not really 	 hardly be 
 not well 	 n't ok 
 not take 	 n't use 
 not taking 	 n't use 
 not in 	 outside the 
 not believe 	 n't know 
 not real 	 not fully 
 not ready 	 n't want 
 n't anything 	 not something 
 not responsible 	 not aware 
 must not 	 not regard 
 n't here 	 not back 
 n't , 	 not return 
 not indicate 	 means not 
 not treat 	 treatment to 
 not , 	 n't the 
 not as 	 simply not 
 not received 	 not become 
 not receive 	 not become 
 only of 	 not merely 
 impossible 	 not more 
 not sufficient 	 too short 
 no additional 	 not create 
 not a 	 not true 
 not been 	 refrained from 
 not been 	 refrain from 
 not being 	 refrained from 
 not is 	 refraining from 
 not be 	 refrained from 
 not be 	 refrain from 
 not being 	 refraining from 
 not be 	 refraining from 
 not being 	 refrain from 
 n't get 	 not eligible 
 not from 	 of non- 
 not lose 	 bear in 
 not enough 	 little , 
 not too 	 not many 
 n't get 	 not access 
 no real 	 not what 
 may not 	 not available 
 n't understand 	 not sure 
 n't our 	 not a 
 not for 	 not create 
 not usually 	 rarely the 
 not under 	 out of 
 n't very 	 not properly 
 rely on 	 not invoke 
 not true 	 quite untrue 
 not a 	 n't do 
 not less 	 by no 
 little about 	 not well 
 inevitably 	 not necessarily 
 not bear 	 not need 
 not properly 	 n't very 
 not normally 	 , usually 
 not enter 	 n't a 
 are no 	 not receive 
 are no 	 not received 
 been no 	 not received 
 be no 	 not receive 
 are no 	 not receiving 
 badly , 	 not well 
 been no 	 not receive 
 not gonna 	 n't about 
 not able 	 there could 
 not very 	 a short 
 mostly , 	 not least 
 not implement 	 not have 
 not 	 no fucking 
 not to 	 to fail 
 not happen 	 not do 
 not appear 	 not being 
 not appear 	 not been 
 not appear 	 not be 
 bit of 	 not very 
 not matter 	 n't help 
 opposition to 	 not support 
 not conform 	 non-compliance with 
 not before 	 not favour 
 not coming 	 is not 
 not come 	 is not 
 not come 	 are not 
 not come 	 were not 
 not come 	 was not 
 not come 	 be not 
 not in 	 not come 
 just really 	 not really 
 not my 	 n't do 
 nor , 	 not and 
 not sure 	 not adequately 
 n't know 	 not like 
 n't use 	 not required 
 n't use 	 not require 
 not know 	 not have 
 not become 	 will not 
 quite sure 	 not doubt 
 not involve 	 not by 
 not consistently 	 n't keep 
 not real 	 n't right 
 not clear 	 n't understand 
 , difficult 	 not clear 
 not otherwise 	 . no 
 not think 	 n't seem 
 not having 	 find no 
 not have 	 find no 
 not had 	 found no 
 not had 	 find no 
 not having 	 found no 
 not have 	 found no 
 not one 	 simply not 
 not really 	 n't you 
 not some 	 hardly a 
 not possibly 	 would not 
 n't mind 	 not against 
 n't no 	 not from 
 not adequately 	 not sure 
 not some 	 not even 
 not more 	 any less 
 not enter 	 n't in 
 not like 	 n't quite 
 not in 	 n't even 
 not that 	 certainly not 
 not too 	 rather too 
 not until 	 only from 
 not necessarily 	 are no 
 not necessarily 	 is no 
 not necessarily 	 were no 
 not necessarily 	 been no 
 not necessarily 	 be no 
 not necessarily 	 was no 
 mostly 	 not least 
 not accept 	 n't hold 
 not but 	 merely the 
 not practical 	 not available 
 no way 	 not otherwise 
 not a 	 , nor 
 not a 	 not among 
 not seen 	 n't realize 
 not see 	 n't realize 
 not by 	 rather than 
 not least 	 mostly , 
 not adequate 	 not fully 
 not merely 	 just of 
 certainly not 	 not do 
 not so 	 relatively less 
 not expect 	 wait any 
 less , 	 not - 
 not enough 	 good enough 
 not constitute 	 n't about 
 not stop 	 to continually 
 not particularly 	 has little 
 not particularly 	 have little 
 's not 	 not on 
 not sufficient 	 short of 
 not possibly 	 not , 
 n't to 	 not within 
 not put 	 not come 
 lacking any 	 not have 
 lacks any 	 not having 
 lacks any 	 not have 
 lack any 	 not having 
 lacking any 	 not had 
 lack any 	 not have 
 lacks any 	 not had 
 lack any 	 not had 
 lacking any 	 not having 
 n't no 	 not really 
 not because 	 not want 
 not we 	 indeed we 
 too few 	 not much 
 not imply 	 absolutely no 
 am not 	 not feel 
 not really 	 not now 
 no real 	 not an 
 too short 	 not sufficient 
 little while 	 not widely 
 not that 	 not allow 
 not adequate 	 not possible 
 not fall 	 not appear 
 not like 	 not real 
 not to 	 not favour 
 or fail 	 not or 
 or failing 	 not or 
 or failed 	 not or 
 not least 	 such as 
 precedence over 	 not address 
 not appear 	 not fall 
 nothing 	 not one 
 too 	 not enough 
 not find 	 not getting 
 not find 	 not get 
 not found 	 not got 
 not solve 	 help solve 
 n't who 	 not those 
 not bad 	 fairly good 
 not always 	 sometimes , 
 not maintain 	 not stop 
 miserable 	 not impossible 
 not involve 	 not part 
 n't understand 	 not contain 
 not involved 	 not part 
 either on 	 not on 
 not fall 	 not attend 
 not allow 	 not recognize 
 not only 	 , both 
 not want 	 n't need 
 even in 	 not in 
 rather than 	 not only 
 not exceeding 	 move beyond 
 not exceed 	 moving beyond 
 not exceed 	 move beyond 
 m not 	 not my 
 not now 	 out later 
 n't . 	 not - 
 n't agree 	 not accept 
 not come 	 not find 
 n't to 	 not the 
 not real 	 not properly 
 more difficult 	 not readily 
 not , 	 , non 
 not on 	 nor in 
 not state 	 not include 
 not one 	 no real 
 n't be 	 not this 
 not be 	 not solely 
 n't make 	 not decide 
 not at 	 not create 
 , wrong 	 not right 
 n't he 	 not him 
 not enough 	 of lack 
 not ! 	 anything ! 
 not attend 	 not meet 
 only , 	 not until 
 not be 	 n't always 
 not been 	 n't always 
 not sure 	 n't remember 
 not undertake 	 not run 
 never forget 	 not neglect 
 not for 	 n't from 
 not create 	 not permit 
 not this 	 not because 
 n't such 	 not too 
 not purchase 	 n't get 
 not for 	 n't own 
 n't already 	 not quite 
 not what 	 nothing like 
 not fair 	 n't well 
 not include 	 not any 
 not merely 	 not be 
 not be 	 has n't 
 not be 	 have n't 
 been no 	 not represent 
 are no 	 not represent 
 be no 	 not represent 
 insignificant 	 not many 
 agree to 	 not accept 
 agree to 	 not accepted 
 n't keep 	 not hold 
 , certainly 	 not least 
 and difficult 	 not easily 
 none , 	 not , 
 not one 	 a single 
 poor 	 not good 
 not an 	 without any 
 not create 	 no additional 
 not something 	 so not 
 not so 	 less well 
 easily 	 not readily 
 not unreasonable 	 reasonably , 
 not have 	 not afford 
 bit about 	 not widely 
 not eligible 	 not get 
 not eligible 	 not getting 
 not particularly 	 little of 
 not seek 	 n't try 
 not seeking 	 n't try 
 not what 	 n't say 
 not above 	 n't in 
 not least 	 more so 
 not again 	 all still 
 not part 	 not otherwise 
 not attend 	 not fall 
 not available 	 does not 
 not available 	 did not 
 not available 	 do not 
 n't the 	 not from 
 not appear 	 not address 
 damn 	 not excessively 
 not come 	 not undertake 
 not part 	 not by 
 n't , 	 not a 
 , pointless 	 not helpful 
 n't even 	 not quite 
 not be 	 not count 
 not equal 	 not meet 
 difficult and 	 not readily 
 not just 	 n't want 
 not too 	 n't mind 
 not , 	 , neither 
 not until 	 really only 
 not agree 	 agreement , 
 not as 	 least not 
 , only 	 not until 
 not alive 	 now dead 
 not permit 	 not produce 
 n't have 	 not exactly 
 not able 	 not gonna 
 not from 	 n't about 
 not that 	 n't look 
 not known 	 i wonder 
 not knowing 	 i wonder 
 not know 	 i wonder 
 , essentially 	 not least 
 defective 	 not sufficient 
 not cover 	 not intend 
 not cover 	 not intended 
 non-compliant 	 not receivable 
 n't realize 	 not seen 
 n't realize 	 not see 
 not now 	 not to 
 n't in 	 not enter 
 not by 	 's not 
 not difficult 	 and easily 
 not gonna 	 not an 
 can not 	 not getting 
 can not 	 not get 
 not simply 	 not do 
 just hard 	 not easy 
 n't such 	 not whether 
 not that 	 n't believe 
 not raise 	 n't ask 
 , none 	 not any 
 nor from 	 not of 
 not only 	 - no 
 not a 	 not involve 
 not clear 	 very difficult 
 not wish 	 rather not 
 not many 	 not long 
 n't over 	 not above 
 n't expect 	 not believe 
 do no 	 not go 
 not feel 	 not sure 
 not something 	 anything at 
 not get 	 not taking 
 not get 	 not take 
 not get 	 not taken 
 not getting 	 not take 
 different view 	 not agree 
 not anymore 	 guess not 
 not it 	 certainly not 
 not correspond 	 not be 
 not able 	 not a 
 not acceptable 	 not have 
 n't expect 	 not propose 
 not real 	 n't so 
 not where 	 n't say 
 n't gonna 	 not intend 
 n't even 	 not currently 
 not able 	 was no 
 not able 	 been no 
 not able 	 is no 
 not able 	 were no 
 not able 	 be no 
 not able 	 are no 
 n't handle 	 not support 
 n't have 	 not yet 
 not share 	 not through 
 not clear 	 not good 
 not about 	 n't from 
 not needed 	 not helpful 
 not need 	 not helpful 
 n't know 	 not certain 
 not our 	 n't have 
 not enough 	 very short 
 could n't 	 not feasible 
 not sufficient 	 of lack 
 few 	 not much 
 absent from 	 not here 
 uncommon 	 not much 
 not possible 	 not simply 
 n't ask 	 not say 
 n't ask 	 not said 
 n't ask 	 not saying 
 not but 	 with only 
 not fail 	 not of 
 not acceptable 	 not as 
 n't keep 	 not accept 
 not such 	 simply not 
 not never 	 not ever 
 not compatible 	 , inconsistent 
 not just 	 n't so 
 n't concern 	 not apply 
 short of 	 not sufficient 
 prohibits the 	 not allowed 
 prohibits the 	 not allow 
 not hold 	 not bear 
 not any 	 never a 
 not include 	 n't mention 
 not acceptable 	 n't right 
 not go 	 not in 
 too few 	 not many 
 n't give 	 not to 
 's no 	 not with 
 not clear 	 , difficult 
 not actually 	 not receive 
 not actually 	 not received 
 not one 	 n't be 
 not one 	 n't been 
 not attract 	 not being 
 not attract 	 not be 
 not attract 	 not been 
 n't about 	 not from 
 not , 	 , nor 
 not prove 	 not appear 
 not true 	 of false 
 not really 	 not just 
 not just 	 not because 
 not the 	 nor to 
 not everything 	 all things 
 not widely 	 be little 
 not widely 	 is little 
 not widely 	 been little 
 not widely 	 was little 
 not have 	 not come 
 not having 	 not come 
 not had 	 not come 
 not feasible 	 not available 
 neither did 	 not do 
 neither does 	 not do 
 neither do 	 not do 
 n't we 	 not if 
 neither a 	 not of 
 not " 	 n't say 
 without 	 not yet 
 not become 	 not part 
 not , 	 nothing to 
 not like 	 n't on 
 n't require 	 not have 
 not sure 	 not entirely 
 not just 	 but not 
 not receive 	 had no 
 not receive 	 have no 
 not received 	 had no 
 not receiving 	 has no 
 not receiving 	 have no 
 not reach 	 not cover 
 not one 	 without a 
 certainly not 	 not there 
 not able 	 not enough 
 of adequate 	 not sufficient 
 not suggest 	 n't call 
 not possible 	 can be 
 not about 	 not thinking 
 not about 	 not think 
 not when 	 n't if 
 not contrary 	 run counter 
 not contrary 	 runs counter 
 not easy 	 that hard 
 not part 	 not also 
 very short 	 not enough 
 not . 	 nothing ! 
 not the 	 n't save 
 not only 	 , no 
 n't even 	 not to 
 not much 	 not clear 
 not usually 	 generally a 
 not apply 	 n't asked 
 not apply 	 n't ask 
 not real 	 not nobody 
 outrageous 	 not permissible 
 only then 	 not until 
 not very 	 short space 
 not currently 	 n't you 
 not being 	 not particularly 
 not be 	 not particularly 
 not been 	 not particularly 
 not least 	 mainly to 
 not adequate 	 good enough 
 not address 	 not of 
 not think 	 not , 
 n't part 	 not constitute 
 not a 	 not maintain 
 not but 	 you only 
 not exist 	 n't any 
 not that 	 n't expect 
 anything at 	 not something 
 n't get 	 not enough 
 not solely 	 not be 
 little , 	 not sufficiently 
 not fit 	 not to 
 not say 	 not discuss 
 not aware 	 not speak 
 not come 	 n't gone 
 not come 	 n't go 
 not coming 	 n't go 
 not it 	 an unacceptable 
 not necessarily 	 do not 
 not necessarily 	 did not 
 not necessarily 	 does not 
 not , 	 now , 
 not a 	 , nothing 
 's no 	 not for 
 n't gonna 	 not wanna 
 not about 	 n't you 
 not least 	 , mainly 
 not easy 	 not only 
 not stop 	 n't bring 
 not so 	 definitely not 
 not likely 	 no real 
 on without 	 not with 
 not it 	 not exactly 
 not tolerate 	 not be 
 not being 	 definitely not 
 not been 	 definitely not 
 not be 	 definitely not 
 not often 	 n't get 
 n't necessary 	 not apply 
 has n't 	 not be 
 have n't 	 not be 
 not another 	 one additional 
 certainly not 	 not least 
 not sufficient 	 n't quite 
 not with 	 not unless 
 scarcely 	 not readily 
 n't remember 	 not sure 
 not have 	 not looking 
 not have 	 not look 
 not real 	 n't he 
 n't fit 	 not take 
 n't had 	 not just 
 n't that 	 not actually 
 n't have 	 not just 
 not an 	 really not 
 not if 	 n't we 
 not with 	 n't from 
 not an 	 otherwise of 
 just the 	 not but 
 not that 	 nothing to 
 not weaken 	 undermine the 
 not available 	 not enough 
 n't go 	 not leave 
 n't go 	 not leaving 
 not directly 	 also indirectly 
 not appear 	 not come 
 not only 	 rather than 
 not feel 	 am no 
 not often 	 a rare 
 not pass 	 n't succeed 
 not meet 	 not attend 
 not accept 	 unacceptable the 
 are not 	 not come 
 be not 	 not come 
 not request 	 n't expect 
 are no 	 not really 
 be no 	 not really 
 not continue 	 shall cease 
 n't make 	 not a 
 not acceptable 	 not respect 
 not well 	 n't hurt 
 not constitute 	 not one 
 not sure 	 not just 
 a no 	 not really 
 not think 	 believe that 
 not think 	 believing that 
 not think 	 believed that 
 not easy 	 not be 
 not many 	 few , 
 n't do 	 not that 
 not share 	 not as 
 not be 	 not merely 
 also not 	 not otherwise 
 not once 	 not some 
 not a 	 no real 
 not constitute 	 not something 
 's not 	 not from 
 not be 	 were either 
 not be 	 be either 
 not been 	 was either 
 not been 	 are either 
 not been 	 were either 
 not being 	 is either 
 not being 	 was either 
 not being 	 were either 
 not be 	 is either 
 not being 	 are either 
 not been 	 is either 
 not be 	 are either 
 not be 	 was either 
 not practical 	 it impossible 
 not even 	 , neither 
 not such 	 not do 
 n't last 	 not necessary 
 no big 	 not entirely 
 not present 	 not to 
 not happy 	 n't iike 
 not often 	 not necessarily 
 mainly in 	 not least 
 not run 	 not undertake 
 n't say 	 not that 
 incomplete 	 not enough 
 not unless 	 not this 
 not otherwise 	 do n't 
 not otherwise 	 does n't 
 not an 	 not because 
 not " 	 n't the 
 not necessary 	 not maintain 
 not support 	 not the 
 not but 	 of simply 
 , poorly 	 not adequately 
 prevent the 	 not stop 
 not it 	 n't you 
 of lack 	 not enough 
 not on 	 not enter 
 different kind 	 not like 
 and frequently 	 not infrequently 
 quite recently 	 not long 
 move beyond 	 not exceeding 
 moving beyond 	 not exceed 
 move beyond 	 not exceed 
 n't just 	 not , 
 not support 	 not appear 
 relatively low 	 not much 
 not yet 	 n't come 
 not " 	 n't a 
 all false 	 not right 
 not like 	 n't stand 
 not believe 	 n't expect 
 not that 	 n't her 
 no additional 	 not with 
 otherwise than 	 not an 
 not being 	 impossible for 
 not be 	 impossible for 
 of unnecessary 	 not helpful 
 n't keep 	 not maintain 
 not by 	 nor the 
 do not 	 not quite 
 does not 	 not quite 
 not another 	 yet another 
 n't we 	 not having 
 n't we 	 not have 
 not very 	 they not 
 difficult , 	 not clear 
 not happen 	 no way 
 not hard 	 too easy 
 not long 	 not many 
 not in 	 most in 
 am no 	 not actually 
 not when 	 n't all 
 not 	 any less 
 also essential 	 not least 
 not more 	 or less 
 nor in 	 not with 
 not any 	 nothing to 
 not let 	 not gonna 
 not letting 	 not gonna 
 not well 	 bad , 
 not otherwise 	 not do 
 not our 	 n't this 
 not able 	 will not 
 not be 	 now look 
 cheap 	 not difficult 
 not recognise 	 not to 
 indeed 	 not even 
 presently a 	 not currently 
 not 	 no further 
 solely 	 not merely 
 not an 	 never a 
 but they 	 not however 
 n't had 	 not , 
 n't have 	 not , 
 , mainly 	 not least 
 not otherwise 	 no no 
 not part 	 not really 
 not any 	 n't exactly 
 n't on 	 not involve 
 not entirely 	 not sure 
 not a 	 , nobody 
 not decide 	 n't make 
 not good 	 not easy 
 n't stand 	 not like 
 one additional 	 not another 
 not whether 	 n't such 
 not much 	 too few 
 n't get 	 not to 
 n't got 	 not to 
 not given 	 n't had 
 not giving 	 n't have 
 not give 	 n't have 
 not give 	 n't had 
 not given 	 n't have 
 even to 	 not least 
 no such 	 not by 
 not last 	 not continue 
 not turn 	 n't go 
 not as 	 not consistently 
 not eligible 	 's eligible 
 n't take 	 not for 
 not well 	 something wrong 
 not even 	 n't yet 
 difficult and 	 not easily 
 n't even 	 not a 
 not exactly 	 not it 
 not fewer 	 lot of 
 's another 	 not another 
 not her 	 n't she 
 not matter 	 or whatever 
 not acceptable 	 not recognise 
 not any 	 n't about 
 not fall 	 not benefit 
 not require 	 not envisage 
 not fit 	 not incompatible 
 n't quite 	 not necessarily 
 not because 	 not an 
 n't try 	 not seek 
 n't try 	 not seeking 
 not of 	 not actually 
 not until 	 of just 
 not call 	 invitation to 
 not deal 	 not gonna 
 not at 	 not recognise 
 not always 	 occasionally , 
 , without 	 not in 
 not readily 	 hard time 
 not the 	 n't one 
 not cover 	 not reach 
 , generally 	 not normally 
 not 	 no less 
 failing to 	 not done 
 failed to 	 not do 
 failing to 	 not do 
 fail to 	 not do 
 failed to 	 not done 
 not stand 	 not constitute 
 not undertake 	 not sit 
 not believe 	 not that 
 not as 	 not mean 
 not sufficiently 	 not yet 
 not speaking 	 n't ask 
 not speak 	 n't ask 
 not believe 	 not create 
 bear in 	 not lose 
 not true 	 not that 
