 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 that [MD,1] not [VP/PP,2] in 	 which [MD,1] not [VP/PP,2] under 
 [NP\DT,1] is not yet [JJ,2] 	 [NP\DT,1] is n't already [JJ,2] 
 [VBD,1] n't [VP,2] ? 	 [VBD,1] not [VP,2] ? 
 ai n't much [S\S,1] 	 's not much [S\S,1] 
 they ca n't 	 they can not 
 [NP,1] [VBZ,2] not bound to 	 [NP,1] [VBZ,2] not required to 
 have not been formally 	 have not been officially 
 [DT,1] [VBD,2] n't a 	 [DT,1] [VBD,2] not a 
 [SBAR/VP,1] 'm not [ADJP,2] 	 [SBAR/VP,1] am not [ADJP,2] 
 [NP,1] [VBZ,2] not in conformity 	 [NP,1] [VBZ,2] not in accordance 
 do not understand [WRB,1] [S/SBAR,2] 	 do n't understand [WRB,1] [S/SBAR,2] 
 [VBP,1] not believe [PRN,2] 	 [VBP,1] not think [PRN,2] 
 [VP/VP,1] was not [VP/VB,2] 	 [VP/VP,1] were n't [VP/VB,2] 
 that [VBZ,1] not compatible [IN,2] 	 that [VBZ,1] not supported [IN,2] 
 [WDT,1] [S/RB,2] n't 	 [WDT,1] [S/RB,2] not 
 could only be [VP/S,1] [NP,2] 	 could not be [VP/S,1] [NP,2] 
 [NP,1] [VBZ,2] not willing 	 [NP,1] [VBZ,2] not prepared 
 [VP/RB,1] right [.,2] 	 [VP/RB,1] not [.,2] 
 n't [IN,1] you 	 not [IN,1] you 
 is false [TO,1] [VP/S,2] 	 is not true [TO,1] [VP/S,2] 
 do not include [NP/VP,1] 	 do not address [NP/VP,1] 
 do n't you [VP,1] and 	 not [VP,1] and 
 [NP,1] [MD,2] not be changed 	 [NP,1] [MD,2] not be modified 
 not opposed to [DT,1] [NP\DT,2] 	 not against [DT,1] [NP\DT,2] 
 [VBZ,1] not for me [.,2] 	 [VBZ,1] n't about me [.,2] 
 will not be entertained . 	 will not be considered . 
 does n't [VP/VP,1] [VP/NNS,2] 	 is not to [VP/VP,1] [VP/NNS,2] 
 i [MD,1] not understand [SBAR,2] 	 i [MD,1] n't understand [SBAR,2] 
 it 's not my business 	 it 's none of my business 
 is not [NP/SBAR,1] [SBAR/VP,2] 	 's not [NP/SBAR,1] [SBAR/VP,2] 
 do not [VB,1] [NN,2] 	 do n't [VB,1] [NN,2] 
 [VBN,1] [RB,2] as never 	 [VBN,1] [RB,2] as not 
 [NP,1] does not like 	 [NP,1] does n't like 
 if not otherwise stated [IN,1] 	 unless indicated otherwise [IN,1] 
 you do not have [DT,1] 	 you do n't have [DT,1] 
 members of the public not to 	 the public not to 
 i 'm not gonna [VP/NN,1] 	 i wo n't [VP/NN,1] 
 [SBAR/VP,1] did not [VP/PRP,2] 	 [SBAR/VP,1] did n't [VP/PRP,2] 
 [VBZ,1] not supported on [NP/NNP,2] 	 [VBZ,1] not compatible with [NP/NNP,2] 
 is not applicable [SBAR/VP,1] 	 shall not apply [SBAR/VP,1] 
 may only be [VBN,1] [VP/SBAR,2] 	 can not be [VBN,1] [VP/SBAR,2] 
 n't mean [S/NP,1] [NP,2] 	 not mean [S/NP,1] [NP,2] 
 should not only 	 should not just 
 is not sufficient [VP/PP,1] [IN,2] 	 is not enough [VP/PP,1] [IN,2] 
 not mean [SBAR/VBN,1] [VBN,2] 	 n't mean [SBAR/VBN,1] [VBN,2] 
 [VBZ,1] not [IN,2] though 	 [VBZ,1] n't [IN,2] if 
 [IN,1] [NP,2] is not only 	 [IN,1] [NP,2] is not just 
 not see them 	 n't see them 
 not going to hurt you . 	 not gonna hurt you . 
 is not [NP/NN,1] 	 's not [NP/NN,1] 
 is not rational . 	 is illogical . 
 [PRP,1] [VBZ,2] a lie ! 	 [PRP,1] [VBZ,2] not true ! 
 [VBP,1] not insane [.,2] 	 [VBP,1] not crazy [.,2] 
 was n't [VP/VB,1] [VB,2] 	 was not [VP/VB,1] [VB,2] 
 not only in [NNP,1] [CC,2] 	 not just in [NNP,1] [CC,2] 
 you [VBP,1] not know [WP,2] 	 you [VBP,1] n't know [WP,2] 
 not drink 	 n't drink 
 [PRP,1] 's not going [VP,2] 	 [PRP,1] 's not gonna [VP,2] 
 not see 	 n't see 
 did she not [VP,1] [.,2] 	 did n't she [VP,1] [.,2] 
 does not solve the 	 does not resolve the 
 [VBZ,1] not yet [VP/PP,2] 	 [VBZ,1] still not [VP/PP,2] 
 [VP/VP,1] [VP/VP,2] 's not 	 [VP/VP,1] [VP/VP,2] is not 
 n't know [FRAG,1] 	 not know [FRAG,1] 
 - i do n't [:,1] 	 - i 'm not [:,1] 
 [IN,1] [PRP,2] could n't 	 [IN,1] [PRP,2] could not 
 can only [VB,1] [VP/VBN,2] 	 can not [VB,1] [VP/VBN,2] 
 it [VBZ,1] not right . 	 this [VBZ,1] wrong . 
 's [DT,1] wrong [NN,2] 	 's not [DT,1] good [NN,2] 
 [SBAR/VP,1] 'm not too 	 [SBAR/VP,1] is n't too 
 - i [VP/RB,1] not 	 - i [VP/RB,1] right 
 while [NP,1] did not 	 although [NP,1] did not 
 [SBAR/VP,1] did not think 	 [SBAR/VP,1] did not believe 
 [DT,1] state does not [VP/PP,2] 	 [DT,1] state fails to [VP/PP,2] 
 it is not clear 	 it is unclear 
 do not [VB,1] that you 	 do n't [VB,1] that you 
 [VBD,1] not possible [TO,2] 	 [VBD,1] not feasible [TO,2] 
 [VBP,1] not joking [.,2] 	 [VBP,1] not kidding [.,2] 
 'm not sure [SBAR/IN,1] 	 do n't know [SBAR/IN,1] 
 have not changed [.,1] 	 have n't changed [.,1] 
 unsuitable 	 not appropriate 
 [PRP,1] ca n't bear [VP,2] 	 [PRP,1] can not bear [VP,2] 
 is not willing to 	 is not prepared to 
 is not part [PP/NN,1] 	 's not part [PP/NN,1] 
 income not 	 revenue not 
 's not [NP,1] [SBAR/ADJP,2] 	 is not [NP,1] [SBAR/ADJP,2] 
 we can not ignore 	 we can not overlook 
 not [VP/NN,1] case 	 n't [VP/NN,1] case 
 [VBZ,1] not the [NP\DT,2] ! 	 [VBZ,1] n't the [NP\DT,2] ! 
 does n't explain [SBAR/VP,1] 	 does not explain [SBAR/VP,1] 
 -lrb- non [JJ,1] [-RRB-,2] 	 -lrb- not [JJ,1] [-RRB-,2] 
 not a monster 	 not a freak 
 do n't [VP/PRP,1] [PRP,2] ! 	 're not [VP/PRP,1] [PRP,2] ! 
 's not [NP/SBAR,1] [WP,2] 	 is not [NP/SBAR,1] [WP,2] 
 not let [S/NP,1] [NP,2] 	 not allow [S/NP,1] [NP,2] 
 do not [VB,1] how [S,2] 	 do n't [VB,1] how [S,2] 
 certain [NNS,1] are not 	 some [NNS,1] are not 
 [SBAR/VP,1] [VBZ,2] unable 	 [SBAR/VP,1] [VBZ,2] not able 
 n't afraid of [PRP,1] 	 not scared of [PRP,1] 
 do n't fuck [PP,1] [.,2] 	 do not fuck [PP,1] [.,2] 
 not [PRP$,1] daughter 	 n't [PRP$,1] daughter 
 [PP,1] and not on [NP/NP,2] 	 [PP,1] rather than on [NP/NP,2] 
 period not [VBG,1] [NP,2] 	 term not [VBG,1] [NP,2] 
 [SBAR/VP,1] 's not [SBAR,2] 	 [SBAR/VP,1] is not [SBAR,2] 
 in [NP,1] [COMMA,2] not just 	 in [NP,1] [COMMA,2] not only 
 [DT,1] 's not bad . 	 [DT,1] 's pretty good . 
 a [NP\DT,1] can not [VB,2] 	 a [NP\DT,1] can only [VB,2] 
 [VBP,1] not apply [PP/NN,2] 	 [VBP,1] not extend [PP/NN,2] 
 that [VBZ,1] not correct . 	 that [VBZ,1] not it . 
 [VBN,1] is invalid . 	 [VBN,1] is not valid . 
 do not like [VP/JJ,1] 	 do n't like [VP/JJ,1] 
 [MD,1] not be resolved [PP/NP,2] 	 [MD,1] not be settled [PP/NP,2] 
 [VBZ,1] not authorize 	 [VBZ,1] not permit 
 [VBD,1] not know [SBAR/NN,2] 	 [VBD,1] n't know [SBAR/NN,2] 
 was n't [ADJP/VP,1] [VP,2] 	 was not [ADJP/VP,1] [VP,2] 
 [VBZ,1] not allowed [VP/NP,2] 	 [VBZ,1] not permitted [VP/NP,2] 
 [VBD,1] not my [NN,2] . 	 [VBD,1] n't my [NN,2] . 
 not [NP/NN,1] idea 	 n't [NP/NN,1] idea 
 do not [VB,1] [VP,2] , 	 do n't [VB,1] [VP,2] , 
 [PRP,1] do not get [NP,2] 	 [PRP,1] do not receive [NP,2] 
 [MD,1] remember that [PRP,2] 	 [MD,1] not forget that [PRP,2] 
 is incompatible [IN,1] 	 is not compatible [IN,1] 
 is not just [NP,1] [IN,2] 	 is not only [NP,1] [IN,2] 
 was n't [DT,1] [JJ,2] 	 was not [DT,1] [JJ,2] 
 that is not supported 	 that is not compatible 
 i have not [VP/PRP,1] 	 i just [VP/PRP,1] 
 not [VP/VP,1] kill [NP,2] 	 n't [VP/VP,1] shoot [NP,2] 
 do not know [SBAR/VBN,1] [VBN,2] 	 do n't know [SBAR/VBN,1] [VBN,2] 
 - i 'm not lying 	 -i 'm not lying 
 does not form part [PP/NN,1] 	 is not part [PP/NN,1] 
 [VBZ,1] invalid for [NP,2] 	 [VBZ,1] not valid for [NP,2] 
 because [S/RB,1] n't 	 because [S/RB,1] not 
 was not [IN,1] [S/JJ,2] 	 's not [IN,1] [S/JJ,2] 
 the [NP\DT,1] can only [VP/S,2] 	 the [NP\DT,1] can not [VP/S,2] 
 is not related to 	 is not linked to 
 not doing [PRP,1] [PP,2] 	 n't do [PRP,1] [PP,2] 
 the claimant [VBZ,1] failed [VP/NP,2] 	 the claimant [VBZ,1] not [VP/NP,2] 
 not participate [PP/NP,1] [NP,2] 	 not part [PP/NP,1] [NP,2] 
 does not prevent [NP,1] [IN,2] 	 does not preclude [NP,1] [IN,2] 
 is n't [ADJP/NP,1] [PRP$,2] 	 's not [ADJP/NP,1] [PRP$,2] 
 if [PRP,1] is not possible 	 if [PRP,1] is impossible 
 is n't what you 	 's not what you 
 i [VBP,1] n't think [S/VP,2] 	 i [VBP,1] not think [S/VP,2] 
 does not [VB,1] [DT,2] issue 	 does not [VB,1] [DT,2] question 
 [SBAR/VP,1] [VBZ,2] not recognise 	 [SBAR/VP,1] [VBZ,2] not recognize 
 is not negligible 	 is not insignificant 
 's not [NP/NN,1] idea . 	 is not [NP/NN,1] idea . 
 there is no need [SBAR/VP,1] 	 it is not necessary [SBAR/VP,1] 
 that it could not [VP/NN,1] 	 that it was unable [VP/NN,1] 
 could not [VB,1] [VP/S,2] 	 could only [VB,1] [VP/S,2] 
 n't [RB,1] know where [S,2] 	 not know [RB,1] where [S,2] 
 [DT,1] maximum length of [CD,2] 	 [DT,1] length not exceeding [CD,2] 
 is not [IN,1] [S/VP,2] 	 's not [IN,1] [S/VP,2] 
 [VBP,1] not feeling well . 	 [VBP,1] n't feel well . 
 [VP/S,1] [PRP,2] was impossible 	 [VP/S,1] [PRP,2] was not possible 
 does not operate [VP\VB,1] [.,2] 	 does n't work [VP\VB,1] [.,2] 
 's not [NP/VP,1] [VP/VB,2] 	 is not [NP/VP,1] [VP/VB,2] 
 does n't mean [PRP,1] 	 does not mean [PRP,1] 
 [VP/SBAR,1] who [VBD,2] not 	 [VP/SBAR,1] who [VBD,2] n't 
 he [VBD,1] not [VP/RB,2] 	 he [VBD,1] n't [VP/RB,2] 
 in [NP,1] [COMMA,2] rather than 	 in [NP,1] [COMMA,2] and not 
 [VBP,1] not [VP/CC,2] 	 [VBP,1] n't [VP/CC,2] 
 [NNS,1] can not [VB,2] 	 [NNS,1] may only [VB,2] 
 unknown , 	 not known , 
 is not [DT,1] real 	 can never be [DT,1] real 
 [SYM,1] [PRP,2] can not 	 [SYM,1] [PRP,2] ca n't 
 is impossible [VP/NP,1] [NP,2] 	 is not possible [VP/NP,1] [NP,2] 
 not take [PRP,1] [PP,2] 	 n't take [PRP,1] [PP,2] 
 [IN,1] i do not want 	 [IN,1] i do not wish 
 it 's not [NP/NNP,1] [NNP,2] 	 these are n't [NP/NNP,1] [NNP,2] 
 not [VB,1] today 	 n't [VB,1] today 
 n't [VB,1] at all 	 not [VB,1] it at all 
 have not [VBN,1] [NP/NN,2] 	 have n't [VBN,1] [NP/NN,2] 
 complainant [VBZ,1] not [VP,2] 	 claimant [VBZ,1] not [VP,2] 
 should not be [DT,1] 	 should n't be [DT,1] 
 's not [VP/PRP,1] me . 	 wo n't [VP/PRP,1] me . 
 [DT,1] had not [VBN,2] 	 [DT,1] debtor had not [VBN,2] 
 'm not smoking . 	 do n't smoke . 
 still 	 not yet 
 [VBZ,1] inappropriate [TO,2] 	 [VBZ,1] not appropriate [TO,2] 
 will not be [JJ,1] [.,2] 	 wo n't be [JJ,1] [.,2] 
 the tribunal [VBD,1] not [VP/PP,2] 	 the court [VBD,1] not [VP/PP,2] 
 [PRP,1] do n't [VP/NP,2] this 	 [PRP,1] 're not [VP/NP,2] the 
 , it is not unusual 	 , it is not uncommon 
 n't say [SBAR/NN,1] [NN,2] 	 not say [SBAR/NN,1] [NN,2] 
 'm not [RB,1] [.,2] 	 am not [RB,1] [.,2] 
 the [NP\DT,1] [VBP,2] not valid 	 the [NP\DT,1] [VBP,2] invalid 
 [PRP,1] do not share 	 [PRP,1] do n't share 
 - [PRP,1] [VBZ,2] not true 	 - [PRP,1] [VBZ,2] not 
 i 'm not one of 	 i am not one of 
 was unable to [VB,1] [NP/CD,2] 	 can not [VB,1] [NP/CD,2] 
 n't [VB,1] down [.,2] 	 not [VB,1] down [.,2] 
 has n't [VBN,1] [SBAR/SBAR,2] 	 has not [VBN,1] [SBAR/SBAR,2] 
 was not necessary [VP/VP,1] 	 was no need [VP/VP,1] 
 not [VBG,1] here 	 not [VBG,1] this out 
 [ADJP/SBAR,1] [WDT,2] do not 	 [ADJP/SBAR,1] [WDT,2] now 
 - not [RB,1] [COMMA,2] no 	 -not [RB,1] [COMMA,2] no 
 [S/S,1] it is not possible 	 [S/S,1] it is impossible 
 i did not know [DT,1] 	 i did n't know [DT,1] 
 will not take part [PP,1] 	 would not participate [PP,1] 
 did not clarify 	 did not explain 
 [VBP,1] n't want [TO,2] 	 [VBP,1] not want [TO,2] 
 the council does not [VP/NP,1] 	 the council fails [VP/NP,1] 
 why he [VBD,1] not 	 why he [VBD,1] n't 
 was n't [RB,1] [NP,2] 	 was not [RB,1] [NP,2] 
 [DT,1] [VBZ,2] n't for me 	 [DT,1] [VBZ,2] not for me 
 not need [S,1] 	 n't need [S,1] 
 for [DT,1] period not [VBG,2] 	 for [DT,1] term not [VBG,2] 
 [IN,1] [NP,2] does not involve 	 [IN,1] [NP,2] does not imply 
 [MD,1] not go on . 	 [MD,1] not continue . 
 does not [VB,1] to be 	 do n't [VB,1] to be 
 [NP/NN,1] question is not 	 [NP/NN,1] matter is not 
 [VP/S,1] i do not understand 	 [VP/S,1] i do n't understand 
 does not imply [SBAR/SBAR,1] 	 does not mean [SBAR/SBAR,1] 
 they [VBP,1] not know [IN,2] 	 they [VBP,1] n't know [IN,2] 
 it could not [VB,1] 	 he could n't [VB,1] 
 not want [NP,1] [VP,2] 	 n't want [NP,1] [VP,2] 
 -not [IN,1] [S,2] 	 - not [IN,1] [S,2] 
 - he [VBD,1] not [VP,2] 	 - he [VBD,1] n't [VP,2] 
 [WDT,1] is not listed [PP,2] 	 [WDT,1] does not appear [PP,2] 
 [VBP,1] n't [VP/RB,2] here . 	 [VBP,1] not [VP/RB,2] here . 
 [PRP,1] 're not nuts 	 [PRP,1] 're not crazy 
 is not who 	 's not who 
 [VBD,1] not consistent with 	 [VBD,1] not compatible with 
 [NNP,1] ca n't [VP/NNS,2] 	 [NNP,1] can not [VP/NNS,2] 
 was not possible [VP/NP,1] 	 was impossible [VP/NP,1] 
 is not possible [VP/NP,1] [DT,2] 	 's just impossible [VP/NP,1] [DT,2] 
 [SBAR/VP,1] is not [JJ,2] enough 	 [SBAR/VP,1] is not sufficiently [JJ,2] 
 that could not [VP,1] 	 who were unable to [VP,1] 
 [UH,1] , [PRP,2] was n't 	 [UH,1] , [PRP,2] 's not 
 so just me , then . 	 but not me . 
 - that [VBZ,1] not fair 	 - just [VBZ,1] n't fair 
 n't make [DT,1] [NN,2] 	 not make [DT,1] [NN,2] 
 [VBP,1] not kill [PRP,2] ! 	 [VBP,1] n't shoot [PRP,2] ! 
 did not think [S/VP,1] 	 did not believe [S/VP,1] 
 those [WP,1] can not 	 those [WP,1] are unable 
 is not just [DT,1] [JJ,2] 	 is not only [DT,1] [JJ,2] 
 [NP,1] [VBZ,2] not functioning 	 [NP,1] [VBZ,2] not working 
 that [S/RB,1] n't 	 that [S/RB,1] not 
 [WDT,1] [VBZ,2] not listed 	 [WDT,1] [VBZ,2] not appear 
 [WDT,1] do n't exist 	 [WDT,1] do not exist 
 [VBP,1] not [VB,2] these 	 [VBP,1] n't [VB,2] those 
 [VP/VP,1] is not very 	 [VP/VP,1] is n't very 
 not a valid [NNP,1] [NNP,2] 	 invalid [NNP,1] [NNP,2] 
 [NP,1] does not resolve 	 [NP,1] does not solve 
 n't the end [PP/NN,1] world 	 not the end [PP/NN,1] world 
 [:,1] [DT,2] 's impossible 	 [:,1] [DT,2] 's not possible 
 ca n't understand [PRP,1] [.,2] 	 do not understand [PRP,1] [.,2] 
 [PRP,1] [VBP,2] n't think . 	 [PRP,1] [VBP,2] afraid not . 
 was impossible to [VP,1] 	 was not possible to [VP,1] 
 i could not [VP/NN,1] 	 i could n't [VP/NN,1] 
 [VBZ,1] n't know where 	 [VBZ,1] not know where 
 still not 	 not yet 
 [VBZ,1] not easy [IN,2] 	 [VBZ,1] n't easy [IN,2] 
 [VBP,1] still not [VP,2] . 	 [VBP,1] not yet [VP,2] . 
 it [VBZ,1] not known [IN,2] 	 it [VBZ,1] unknown [IN,2] 
 this [NN,1] does not [VP/NP,2] 	 this [NN,1] fails [VP/NP,2] 
 [SBAR/VP,1] 's [JJ,2] or not 	 [SBAR/VP,1] is [JJ,2] or not 
 not sure [DT,1] 's necessary 	 [DT,1] is pointless 
 purpose is not 	 goal is not 
 [VBD,1] n't do [DT,2] . 	 [VBD,1] not do [DT,2] . 
 [VBP,1] [VBN,2] unable to 	 [VBP,1] not [VBN,2] able to 
 [NP/VP,1] fail [VP/RB,2] 	 [NP/VP,1] do not [VP/RB,2] 
 that [VBZ,1] not [DT,2] point 	 that [VBZ,1] not [DT,2] question 
 [NP,1] has not demonstrated [SBAR/VP,2] 	 [NP,1] failed to demonstrate [SBAR/VP,2] 
 [PRP,1] is n't [JJ,2] . 	 [PRP,1] 's not [JJ,2] . 
 [PRP,1] is unknown [SBAR/NP,2] 	 [PRP,1] is not known [SBAR/NP,2] 
 [NNS,1] [WDT,2] can not be 	 [NNS,1] [WDT,2] can only be 
 [VP/NP,1] [NP/QP,2] not less than 	 [VP/NP,1] [NP/QP,2] at least 
 [NP,1] has not demonstrated 	 [NP,1] has failed to show 
 did not [VP/DT,1] [DT,2] . 	 did n't [VP/DT,1] [DT,2] . 
 [VBP,1] not want [S,2] . 	 [VBP,1] n't want [S,2] . 
 [NN,1] is invalid [.,2] 	 [NN,1] is not valid [.,2] 
 [VBZ,1] not mean that [S/SBAR,2] 	 [VBZ,1] n't mean that [S/SBAR,2] 
 [VP,1] , not least [IN,2] 	 [VP,1] , including [IN,2] 
 decided not [VP/NP,1] [NP/VP,2] 	 decides not [VP/NP,1] [NP/VP,2] 
 i do n't [VB,1] [SBAR/S,2] 	 i do not [VB,1] [SBAR/S,2] 
 [DT,1] is n't [PRP,2] 	 [DT,1] is not [PRP,2] 
 they 're not moving 	 they do n't move 
 is not compatible with this 	 is not supported by this 
 i [MD,1] not [VP/SBAR,2] as 	 i [MD,1] not [VP/SBAR,2] because 
 [VP/S,1] [PRP,2] could not 	 [VP/S,1] [PRP,2] could n't 
 do n't know [SBAR/NP,1] [NP/NN,2] 	 do not know [SBAR/NP,1] [NP/NN,2] 
 as [PRP,1] have not [VP,2] 	 because [PRP,1] has not [VP,2] 
 not just [NP,1] -rrb- 	 not only [NP,1] -rrb- 
 [PRP,1] can only be [VP/PP,2] 	 [PRP,1] can not be [VP/PP,2] 
 [VBP,1] not previously [VP,2] 	 [VBP,1] not already [VP,2] 
 [IN,1] this is n't a 	 [IN,1] it 's not a 
 [NP,1] , who is unable 	 [NP,1] , which can not 
 [PRP,1] may only be [VP/NP,2] 	 [PRP,1] can not be [VP/NP,2] 
 it is not just [NP/PP,1] 	 it is not only [NP/PP,1] 
 have not shown [SBAR/VP,1] 	 have not demonstrated [SBAR/VP,1] 
 has not [VP/VP,1] [VP/ADJP,2] 	 has failed to [VP/VP,1] [VP/ADJP,2] 
 if [S/RB,1] not ? 	 if [S/RB,1] n't ? 
 [SBAR/VP,1] is impossible [VP,2] 	 [SBAR/VP,1] is not possible [VP,2] 
 is [RB,1] impossible [IN,2] 	 is [RB,1] not possible [IN,2] 
 was not possible to [VP/PP,1] 	 was impossible to [VP/PP,1] 
 [NNP,1] [VBZ,2] not possess 	 [NNP,1] [VBZ,2] not have 
 not too [ADJP\RB,1] [.,2] 	 not so [ADJP\RB,1] [.,2] 
 [DT,1] [FW,2] had not 	 [DT,1] [FW,2] had failed to 
 [NP,1] has failed to show 	 [NP,1] has not established 
 insufficiently substantiated 	 not sufficiently substantiated 
 is not " 	 's not " 
 [SBAR/VP,1] have not [VP/NNS,2] 	 [SBAR/VP,1] have n't [VP/NNS,2] 
 not review [VP\VB,1] 	 not consider [VP\VB,1] 
 i [VBD,1] n't [RB,2] 	 i [VBD,1] not [RB,2] 
 did n't [VP/SBAR,1] [SBAR/ADJP,2] 	 has not [VP/SBAR,1] [SBAR/ADJP,2] 
 [SBAR/ADJP,1] not guilty 	 [SBAR/ADJP,1] innocent 
 i [VBP,1] n't know yet 	 i [VBP,1] not know yet 
 do not see [SBAR/VP,1] [MD,2] 	 do not understand [SBAR/VP,1] [MD,2] 
 [PRP,1] [VBZ,2] not that hard 	 [PRP,1] [VBZ,2] not really hard 
 [VBP,1] not scared of 	 [VBP,1] not afraid of 
 n't [VP/NN,1] accident 	 not [VP/NN,1] accident 
 not [VP/NN,1] war 	 n't [VP/NN,1] war 
 n't [VP/NNS,1] hours 	 not [VP/NNS,1] hours 
 [DT,1] security [NNP,2] did not 	 [DT,1] security [NNP,2] fails 
 did not receive [NP,1] [.,2] 	 has not received [NP,1] [.,2] 
 [VBZ,1] n't [VP/NP,2] a 	 [VBZ,1] not [VP/NP,2] a 
 [:,1] not really . 	 [:,1] not so much . 
 do not think [IN,1] [S,2] 	 do n't think [IN,1] [S,2] 
 not be seen as [NP,1] 	 not be considered [NP,1] 
 urged [NP,1] not to 	 urge [NP,1] not to 
 i [VBP,1] n't [VBN,2] 	 i [VBP,1] not [VBN,2] 
 not until 	 not till 
 not bad [.,1] 	 pretty good [.,1] 
 not [RB,1] reflect those [PP,2] 	 not [RB,1] represent those [PP,2] 
 when [PRP,1] is not 	 when [PRP,1] 's not 
 have n't finished yet . 	 'm not done . 
 an [NP\DT,1] can not [VP/SBAR,2] 	 a [NP\DT,1] can only [VP/SBAR,2] 
 [VBZ,1] not [DT,2] exercise . 	 [VBZ,1] not [DT,2] drill . 
 [NP\DT,1] is not working [.,2] 	 [NP\DT,1] is not functioning [.,2] 
 's not [NP/SBAR,1] [IN,2] 	 was n't [NP/SBAR,1] [IN,2] 
 could not create 	 was unable to create 
 you [VBP,1] not hearing me 	 you [VBP,1] not listening 
 [VBP,1] not party to [NP,2] 	 [VBP,1] not parties to [NP,2] 
 not [VB,1] such [NNS,2] 	 n't [VB,1] such [NNS,2] 
 n't belong [PP/NN,1] [NN,2] 	 not belong [PP/NN,1] [NN,2] 
 n't . 	 not . 
 [VBP,1] n't have the [NP\DT,2] 	 [VBP,1] not have the [NP\DT,2] 
 [DT,1] is n't [IN,2] 	 [DT,1] is not [IN,2] 
 n't [VBD,1] yet 	 not [VBD,1] yet 
 [NP,1] did n't know 	 [NP,1] did not know 
 [MD,1] not be deleted 	 [MD,1] not be removed 
 n't have [NP/VP,1] [VP,2] 	 not have [NP/VP,1] [VP,2] 
 does not [VB,1] the creation 	 does not [VB,1] the establishment 
 [VBP,1] not even [VB,2] 	 [VBP,1] n't even [VB,2] 
 could n't [VP/SBAR,1] [SBAR/VP,2] 	 could not [VP/SBAR,1] [SBAR/VP,2] 
 is not [JJ,1] or [JJ,2] 	 is neither [JJ,1] nor [JJ,2] 
 can not [VP/PP,1] [PP/PP,2] of 	 is unable [VP/PP,1] [PP/PP,2] of 
 [VBZ,1] n't have to [VB,2] 	 [VBZ,1] not need to [VB,2] 
 does not [VB,1] [NP/NNS,2] 	 do n't [VB,1] [NP/NNS,2] 
 exception , not 	 exception rather than 
 [VBD,1] not know [SBAR/PP,2] 	 [VBD,1] n't know [SBAR/PP,2] 
 us not forget [IN,1] [S/VP,2] 	 us remember [IN,1] [S/VP,2] 
 nonsignificant 	 not significant 
 not forgetting the 	 without forgetting the 
 imprescriptible 	 not subject to limitations 
 n't kill 	 not kill 
 [VBZ,1] not linked [PP,2] 	 [VBZ,1] not related [PP,2] 
 you do n't tell [PRP,1] 	 you 're not telling [PRP,1] 
 the author [MD,1] not 	 the complainant [MD,1] not 
 [VBZ,1] not a real 	 [VBZ,1] n't a real 
 [MD,1] not be allowed 	 [MD,1] not be permitted 
 [SBAR/VP,1] has not provided [NP/VP,2] 	 [SBAR/VP,1] failed to provide [NP/VP,2] 
 not [VP/PP,1] [PP/NN,2] matter 	 not [VP/PP,1] [PP/NN,2] issue 
 i [VBP,1] n't like [NP,2] 	 i [VBP,1] not like [NP,2] 
 [PRP,1] do not [VB,2] 	 [PRP,1] do n't [VB,2] 
 lack [NP,1] [TO,2] 	 do not have [NP,1] [TO,2] 
 it [VBZ,1] impossible [.,2] 	 it [VBZ,1] not possible [.,2] 
 n't have [VP/JJ,1] [JJ,2] 	 not need [VP/JJ,1] [JJ,2] 
 [VBZ,1] n't [VP/PRP,2] 	 [VBZ,1] not [VP/PRP,2] 
 [MD,1] not be fully [VBN,2] 	 [MD,1] only be fully [VBN,2] 
 [CC,1] never [ADJP\RB,2] . 	 [CC,1] not [ADJP\RB,2] . 
 that the board had not 	 that the selection board did not 
 [UH,1] , not again 	 [UH,1] , not yet 
 is not [VP/NNPS,1] [NNPS,2] . 	 is n't [VP/NNPS,1] [NNPS,2] . 
 that do not need 	 who do not require 
 [VBD,1] not [VB,2] that . 	 [VBD,1] n't [VB,2] that . 
 was not [NP/VP,1] [VBD,2] 	 was n't [NP/VP,1] [VBD,2] 
 not her fault 	 n't his fault 
 not until [S/JJ,1] [JJ,2] 	 not till [S/JJ,1] [JJ,2] 
 as they do not [VP/PP,1] 	 because they do not [VP/PP,1] 
 [WRB,1] do n't [VP,2] ? 	 [WRB,1] not [VP,2] ? 
 i [VBP,1] not okay 	 i [VBP,1] not well 
 i am not 	 i 'm not 
 [IN,1] he [VBD,2] not know 	 [IN,1] he [VBD,2] n't know 
 a child shall not [VP/NP,1] 	 children do not [VP/NP,1] 
 is n't [SBAR/VBP,1] [VBP,2] . 	 's not [SBAR/VBP,1] [VBP,2] . 
 was unable [VP/NNP,1] 	 could not [VP/NNP,1] 
 [RB,1] [PRP,2] do n't 	 [RB,1] [PRP,2] 're not 
 n't [RB,1] your [NN,2] 	 not [RB,1] your [NN,2] 
 are not yet [NNS,1] 	 have not yet become [NNS,1] 
 [VBZ,1] not yet [VP/NNP,2] 	 [VBZ,1] still not [VP/NNP,2] 
 is n't [RB,1] , 	 's not [RB,1] , 
 [NP,1] would only [VP/PP,2] 	 [NP,1] will not [VP/PP,2] except 
 is not the [NN,1] [CC,2] 	 is neither the [NN,1] [CC,2] 
