Number of pairs: 5113
limited	unlimited
imperfect	perfect
favorably	unfavorably
nonprescript	prescript
sportingly	unsportingly
immediate	mediate
deperson	person
appreciation	depreciation
luckily	unluckily
pointedness	unpointedness
scrupul	unscrupul
favorable	unfavorable
induc	spontan
obstructed	unobstructed
nonrepresentational	representational
fall_asleep	wake_up
convinced	unconvinced
grace	ungrac
counterfactu	factual
insubordin	subordin
conventionality	unconventionality
kind	unkind
critically	uncritically
nonreversible	reversible
cyclic	noncycl
prevent	unprevent
double	single
plowed	unplowed
impersonal	personal
impersonally	personally
spirited	spiritless
express	inexpress
determined	undetermined
kindli	unkindli
sedate	stimulate
purposeful	purposeless
hospit	inhospit
branchless	branchi
unwholesom	wholesom
restful	restless
diversifi	specialis
anestrous	estrous
ambitiously	unambitiously
postdate	predate
electrolytic_cell	voltaic_cell
dioeciou	monoeci
demystify	mystify
strengthen	weaken
disunion	union
mind	unmind
deflationary	inflationary
heterodactyl	zygodactyl
affirmative	negative
detrib	tribal
cenogenet	palingenet
dynam	undynam
alike	unalike
blond	brunet
tongued	tongueless
concentration	distribution
aged	young
deflationari	inflationari
congruous	incongru
nonreticul	reticul
disenchanted	enchanted
lie	sit
acid	amphoter
stemless	stem
conson	vocal
equival	nonequival
employable	unemployable
salable	unsalable
consequentially	inconsequentially
majority	minority
empirically	theoretically
reliableness	unreliableness
frail	robust
seemliness	unseemliness
analogu	digit
cooking_apple	eating_apple
failing	passing
seedless	seedi
play	unplay
contestable	incontestable
disincent	incent
ecdem	endem
high-tension	low-tension
disreput	reput
composur	discomposur
friendli	unfriendli
deregul	regul
bridle	unbridle
plan	unplan
imponder	ponder
rifl	unrifl
conventionally	unconventionally
gregarious	ungregarious
afebril	febril
be_full	starve
destabilis	stabil
patterned	plain
equatorial	polar
invertible	non-invertible
justli	unjustli
mobile	stabile
clear	unclear
tubed	tubeless
cover	uncov
full-tim	half-tim
destruct	indestruct
tactfully	tactlessly
charitable	uncharitable
unwel	well
use	useless
clean	dirti
directness	indirectness
bidirect	unidirect
barrel	unbarrel
blend	unblend
profan	sacr
differentiate	integrate
dishonestli	honestli
blended	unblended
melodi	unmelodi
affix	unaffix
humil	pride
converge	diverge
reentrant_angl	salient_angl
clog	unclog
impressively	unimpressively
acceptability	unacceptability
multilateral	unilateral
unwrapped	wrapped
exclud	includ
exchangeability	unexchangeability
afebrile	febrile
anaclinal	cataclinal
anhydr	hydrou
purpos	purposeless
stifle	stimulate
downwardli	upwardli
stapl	unstapl
northern	southern
spineless	spinou
valgu	varu
felicitously	infelicitously
heavily	lightly
unwillingly	willingly
competently	incompetently
penalty	reward
frivol	seriou
dishonestly	honestly
bipe	quadrup
credulous	incredulous
hardened	soft
unwillingli	willingli
intractable	tractable
dominant	recessive
king	queen
dependent	independent
diachron	synchron
ceremoniously	unceremoniously
intensifi	moder
intang	tangibl
obtrus	unobtrus
nativ	nonn
nonuniform	uniform
courage	cowardice
rest	tire
finit	infinit
shared	unshared
docile	stubborn
binaurally	monaurally
ambiti	unambiti
atomist	holist
kindly	unkindly
deductive	inductive
antisept	septic
characterist	uncharacterist
gloved	gloveless
progressive	regressive
cry	laugh
palatability	unpalatability
acut	obtus
necked	neckless
common	individu
activity	inactivity
anovulation	ovulation
autotrophic	heterotrophic
cri	laugh
courteous	discourt
insensible	sensible
corruptibility	incorruptibility
fledged	unfledged
irregularli	regularli
delin	undelin
extensor	flexor
congeni	uncongeni
advantageously	disadvantageously
intemperate	temperate
malnourished	nourished
heavili	lightli
pleasing	unpleasing
deoxidise	oxidise
paradigmatic	syntagmatic
disincentive	incentive
irregularly	regularly
anemophil	entomophil
defense	offense
manly	unmanly
depigment	pigment
laurel	unlaurel
tender	tough
close	open
changeable	unchangeable
excusable	inexcusable
get_wel	get_wors
arm	disarm
discreetli	indiscreetli
deriv	underiv
majuscule	minuscule
inutility	utility
gravitation	levitation
lidded	lidless
astigmat	stigmat
leg	legless
diluted	undiluted
idle	work
fission	nonfission
nonsyllabic	syllabic
overtim	regulation_tim
de-iodinate	iodinate
sexi	unsexi
acidic	amphoteric
hold	let_go_of
experi	inexperi
fresh_water	saltwater
anterograde	retrograde
acutely	chronically
available	unavailable
acid-loving	alkaline-loving
derestrict	restrict
anticholinergic	cholinergic
appreci	depreci
ahistorical	historical
achondrit	chondrit
fold	unfold
sold	unsold
chivalrously	unchivalrously
endogamous	exogamous
crannied	uncrannied
immateriality	materiality
nonspher	spheric
styleless	stylish
lowercas	uppercas
binaur	monaur
sarcast	unsarcast
edibl	ined
consumpt	gener
competent	incompetent
decreas	increas
irreverence	reverence
environment	hereditarian
deciduous_plant	evergreen_plant
bodi	unbodi
full-time	half-time
immunocompet	immunodefici
improved	unimproved
nontechn	technic
faithfulness	unfaithfulness
adiabat	diabat
influential	uninfluential
treated	untreated
retent	unretent
annual	perenni
fame	infami
foreign	nativ
jawed	jawless
calcicol	calcifug
germfre	germi
lash	unlash
let	prevent
ill-being	well-being
approve	disapprove
immotility	motility
sheathe	unsheathe
load	unload
dysphemism	euphemism
expendable	unexpendable
headed	unheaded
schedul	unschedul
bad_egg	good_egg
consumm	unconsumm
hollow	solid
improper	proper
nonsteroid	steroid
cenogenesis	palingenesis
fashion	unfashion
regulated	unregulated
littl	much
inutil	util
consideration	inconsideration
dysphemist	euphemist
leaded_gasoline	unleaded_gasoline
imparti	partial
demystifi	mystifi
belt	unbelt
decline	improvement
intestate	testate
forgiv	unforgiv
destalin	stalin
scented	scentless
irresponsibility	responsibility
healthi	unhealthi
due	undu
empti	fill
inorgan	organ
aplacent	placent
evitable	inevitable
faithfully	unfaithfully
contraind	indic
coarse	fine
anisotropic	isotropic
preventable	unpreventable
intrusive	protrusive
disingenu	ingenu
empty	fill
irrelevantly	relevantly
nonpsychoactive	psychoactive
invis	visibl
institutionalized	noninstitutionalized
sleeved	sleeveless
partly	wholly
silenced	unsilenced
fire	hire
overstate	understate
decorous	indecorous
citizen	noncitizen
excitingly	unexcitingly
convert	inconvert
good_fortune	misfortune
extric	inextric
adaptable	unadaptable
gusset	ungusset
dislodg	lodg
partli	wholli
systematic	unsystematic
demand	undemand
grand_larceny	petit_larceny
insan	sane
compar	incompar
closed_interval	open_interval
excitingli	unexcitingli
wheeled	wheelless
hardness	softness
furrow	unfurrow
conception	misconception
accentual	quantitative
packag	unpackag
frozen	unfrozen
anastalsis	peristalsis
reliable	unreliable
impatiently	patiently
empirical	theoretical
ravel	unravel
admire	look_down_on
unwholesomeness	wholesomeness
informatively	uninformatively
match	mismatch
reliably	unreliably
compassion	uncompassion
artful	artless
anonym	onym
animated	unanimated
loos	tight
aliv	dead
pack	unpack
constipated	unconstipated
irresolutely	resolutely
agitation	calmness
atonality	tonality
guilty	innocent
adulter	purifi
impenit	penit
obtrusive	unobtrusive
faceted	unfaceted
bipedal	quadrupedal
destabilization	stabilization
silence	sound
anode	cathode
absorbable	adsorbable
demot	promot
ready	unready
rig	unrig
bow	pluck
rib	ribless
dedic	unded
dissuad	persuad
anabat	katabat
monophonic_music	polyphonic_music
demobilis	mobilis
irrelev	relev
realiti	unreal
advisability	inadvisability
originality	unoriginality
play_down	play_up
dishonor	honor
shuttered	unshuttered
quickli	slowli
benign	malign
decod	encod
expatri	repatri
seduct	unseduct
dissuas	persuas
liveri	unliveri
impious	pious
day	night
clearness	unclearness
unwary	wary
castrat	uncastr
political_correctness	political_incorrectness
parented	unparented
displeased	pleased
fatty	nonfat
impolitely	politely
optim	pessim
comprehensive	noncomprehensive
defeat	undef
compart	uncompart
domin	recess
alert	unalert
unwari	wari
high-tech	low-tech
strength	weak
moving	still
fatti	nonfat
decency	indecency
anhydrous	hydrous
usefully	uselessly
dissimilarity	similarity
nontransl	translat
disunifi	unifi
early	late
lower	rais
depressant	stimulative
dystopian	utopian
eleg	ineleg
monophonic_mus	polyphonic_mus
immobl	mobil
analysis	synthesis
unwittingli	wittingli
cheer	depress
expens	inexpens
consistency	inconsistency
brachycephalic	dolichocephalic
ground_strok	volley
tast	tasteless
conceit	humil
recoverable	unrecoverable
wig	wigless
abstain	consum
precedented	unprecedented
knot	unknot
migratory	nonmigratory
scrupulous	unscrupulous
altruistic	egoistic
impreciseness	preciseness
competitive	noncompetitive
ignoble	noble
impracticableness	practicableness
downstag	upstag
shape	unshap
baptiz	unbapt
elegance	inelegance
comprehensively	noncomprehensively
migratori	nonmigratori
love	unlov
demerit	merit
dishonesty	honesty
continent	intercontinent
alignment	nonalignment
evenness	unevenness
profitable	unprofitable
cut	uncut
abstemious	gluttonous
shelled	unshelled
opposable	unopposable
stimul	unstimul
alternate	opposite
consonant	vocal
fret	unfret
cast_off	cast_on
eager	uneag
high-interest	low-interest
endogen	exogen
ill-advis	well-advis
location	studio
hypercalcemia	hypocalcemia
insens	sensibl
comprehensible	incomprehensible
derequisit	requisit
persuas	unpersuas
profitably	unprofitably
excited	unexcited
surprised	unsurprised
collected	uncollected
liveried	unliveried
distrustful	trustful
anticyclon	cyclon
amended	unamended
combinative	noncombinative
parallel_operation	serial_operation
big	littl
joyless	joyou
astringent	nonastringent
bib	bibless
enthusiastically	unenthusiastically
dehydr	hydrat
turn_in	turn_out
unwomanly	womanly
mitig	unmitig
antiseptic	septic
awaken	unawaken
acquisit	unacquisit
competitively	noncompetitively
insurmount	surmount
helpful	unhelpful
felic	infel
exaugural	inaugural
gratitud	ingratitud
apocarpous	syncarpous
deciphered	undeciphered
systematically	unsystematically
interestingly	uninterestingly
adiabatic	diabatic
expert_witness	lay_witness
glove	gloveless
ignore	notice
collect	uncollect
distrust	trust
continue	discontinue
phase_in	phase_out
popular	unpopular
nonsuppurative	suppurative
interestingli	uninterestingli
foolish	wise
disorder	order
essential	inessential
downstair	upstair
deepness	shallowness
saddled	unsaddled
centralize	decentralize
essenti	inessenti
often	rare
largeness	smallness
technophile	technophobe
overvalu	undervalu
back	backless
bounce	clear
scientif	unscientif
understood	ununderstood
experienced	inexperienced
hurriedly	unhurriedly
consciou	unconsci
selfishness	unselfishness
curious	incurious
seasonableness	unseasonableness
surpris	unsurpris
hyperpigmentation	hypopigmentation
insepar	separ
amicable	hostile
irresistible	resistible
poros	solid
nonproprietary	proprietary
day_school	night_school
cenogenesi	palingenesi
aerobic	anaerobic
decision	indecision
intra_vir	ultra_vir
dedifferenti	differenti
integration	segregation
endotoxin	exotoxin
adoptive	biological
intra_vires	ultra_vires
caulked	uncaulked
behave	misbehave
larg	small
nonprolifer	prolifer
forgett	unforgett
digitigrade_mamm	plantigrade_mamm
reproduc	unreproduc
studi	unstudi
recogniz	unrecogniz
point_of_apoapsis	point_of_periapsis
be	nonb
dehydrate	hydrate
run	stand
appetizingness	unappetizingness
easy_money	tight_money
nonpolit	polit
agreement	disagr
antipyretic	pyretic
rural_area	urban_area
dissonance	harmony
concealed	unconcealed
adscript	subscript
demilitaris	militaris
impot	potenc
intense	mild
immodestli	modestli
faith	unfaith
ill-defined	well-defined
cautious	incauti
hypernatremia	hyponatremia
monoclinic	triclinic
overachiev	underachiev
matern	patern
impermeable	permeable
desensitis	sensitis
factory-made	homemade
gravit	levit
fast_lane	slow_lane
immediacy	mediacy
concavely	convexly
breasted	breastless
idiograph	nomothet
complimentary	uncomplimentary
calced	discalced
block	unblock
autoecious	heteroecious
credible	incredible
primarili	secondarili
irrit	sooth
monochromat	polychromat
profit	unprofit
legalise	outlaw
elasticity	inelasticity
framed	unframed
appropriate	inappropriate
deduct	nondeduct
salabl	unsal
primarily	secondarily
conscientious	unconscientious
conquerable	unconquerable
centrality	marginality
credibly	incredibly
dovishness	hawkishness
nonruminant	ruminant
occupi	unoccupi
righteou	unright
institut	noninstitut
nonslipperi	slipperi
endow	unendow
precedentedli	unprecedentedli
question	unquestion
percept	unpercept
long	short
dilut	undilut
irresolut	resolut
immortality	mortality
aestiv	hibern
charg	uncharg
forward	revers
occident	orient
descriptive_linguistics	prescriptive_linguistics
rhetorical	unrhetorical
implaus	plausibl
fearfulness	fearlessness
intox	sober
conditional	unconditional
close_up	open_up
perplex	unperplex
bore	interest
believe	disbelieve
opisthognathous	prognathous
healthful	unhealthful
desensitise	sensitise
de_facto	de_jur
cloth	uncloth
imprecis	precis
heavy-duti	light-duti
aton	tonal
translat	untranslat
belli	bellyless
atom	holism
disobediently	obediently
line	unlin
predictability	unpredictability
pain	painless
considerable	inconsiderable
summer_solstice	winter_solstice
carvel-built	clinker-built
nonpregnant	pregnant
patriot	unpatriot
cursorial	fossorial
consist	inconsist
get_well	get_worse
fissile	nonfissile
characteristic	uncharacteristic
access	inaccess
lament	unlament
horned	hornless
displeas	pleas
brand-name_drug	generic_drug
adequ	inadequ
accustomed	unaccustomed
defendant	plaintiff
anaphrodisia	aphrodisia
heterogeneous	homogeneous
statesmanlik	unstatesmanlik
adequaci	inadequaci
alarm	unalarm
autologous	heterologous
estivate	hibernate
curv	straight_lin
hesitantly	unhesitatingly
dehumidify	humidify
popularity	unpopularity
constant	inconst
abruptness	gradualness
mindful	unmindful
nonprehensil	prehensil
defined	undefined
breakableness	unbreakableness
aggrad	degrad
auspiciousness	inauspiciousness
accessibility	inaccessibility
hyperthyroid	hypothyroid
deprive	enrich
good_part	weak_part
dehumidifi	humidifi
catarrhin	platyrrhin
unwebbed	webbed
appetizing	unappetizing
manfully	unmanfully
hopefulness	hopelessness
formalism	imitation
dioecious	monoecious
inoffensively	offensively
submersible	surface_ship
conductor	insul
extramur	intramur
disembarkation	embarkation
pronounc	unpronounc
constitut	unconstitut
malicious	unmalicious
handmad	machine-mad
gabl	hip
dimmed	undimmed
intensifying	moderating
one-piece	three-piece
democratically	undemocratically
demagnetise	magnetise
disenchant	enchant
income	outgo
imman	transeunt
irreplaceable	replaceable
civilly	uncivilly
asymmetr	symmetr
abnorm	normal
forgivingli	unforgivingli
appet	unappet
nonspecific	specific
be_ful	starv
endocrine	exocrine
fewest	most
nonresid	resid
prepared	unprepared
meaning	meaningless
rested	tired
extensile	nonextensile
apolun	perilun
fainthearted	stouthearted
thermoplast	thermoset
oldness	youngness
formal	inform
apoge	perige
restrained	unrestrained
de-energize	energize
feder	unitari
chivalr	unchivalr
antecedent	subsequent
land	landless
inoffens	offens
algorithm	heurist
literalize	spiritualize
unweb	web
age	young
merit_system	spoils_system
evenli	unevenli
impatient	patient
cooked	raw
involuntarili	voluntarili
fresh	stale
multidimensional_languag	one-dimensional_languag
imprecise	precise
tube	tubeless
proximate	ultimate
evenly	unevenly
farsighted	nearsighted
good_natur	ill_natur
endotherm	exotherm
commun	uncommun
ostentati	unostentati
lowland	upland
bival	multival
cheerful	depressing
cogniz	incogniz
tip	untip
classic	nonclass
nonreturnable	returnable
go	no-go
demobil	mobil
benevol	malevol
postprandial	preprandial
compact	loos
privat	publicli
hypertonus	hypotonus
impervi	perviou
high_qual	low_qual
antrorse	retrorse
concerned	unconcerned
curdl	homogenis
eukaryote	prokaryote
intract	tractabl
conspicu	inconspicu
approvingly	disapprovingly
impracticality	practicality
stable	unstable
aris	lie_down
dislike	liking
fatal	nonfat
illegibly	legibly
friendly	hostile
sent	unsent
inject	uninject
virtuous	wicked
continuant_conson	stop_conson
breathing	breathless
congruou	incongru
extrasensory	sensory
long-spur	short-spur
northernness	southernness
nonviol	violent
anticlimact	climact
rhyme	unrhym
demagnetis	magnetis
felicity	infelicity
eradic	ineradic
major_surgery	minor_surgery
cellular	noncellular
implausible	plausible
eat_in	eat_out
continued	discontinued
clement	inclement
deglycerol	glycerol
arrange	disarrange
molar	molecular
over-the-counter_drug	prescription_drug
broad-mind	narrow-mind
impermiss	permiss
demagnet	magnet
nonspeaking	speaking
button	unbutton
compassionate	uncompassionate
stratifi	unstratifi
geograph	magnet
fewer	more
cash_account	margin_account
timeli	untimeli
declar	undeclar
illegitimaci	legitimaci
monoth	polyth
insubordinate	subordinate
membered	memberless
marri	unmarri
facet	unfacet
friendliness	unfriendliness
enforce	exempt
malici	unmalici
paper_loss	paper_profit
fortun	unfortun
disordered	ordered
purg	rehabilit
natur	unnatur
nonpay	payment
filled	unfilled
dedifferentiate	differentiate
carefully	carelessly
acaulescent	caulescent
enclosed	unenclosed
nephew	niec
download	upload
earliness	lateness
formality	informality
nonreciproc	reciproc
depression	elation
scientific	unscientific
compat	incompat
twine	untwin
junior	senior
stratified_languag	unstratified_languag
waning	waxing
ecdemic	endemic
assisted	unassisted
nonpregn	pregnant
arbitrari	nonarbitrari
find	lose
grate	ungrat
consistently	inconsistently
aperiodic	periodic
hospitableness	inhospitableness
flowering	flowerless
irreparable	reparable
radioluc	radiopaqu
adsorb	nonadsorb
dissatisfy	satisfy
antimagnetic	magnetic
evilness	goodness
nonretractile	retractile
hyperpigment	hypopigment
poverti	wealth
postprandi	preprandi
feasibl	infeas
denitrifi	nitrifi
apologetic	unapologetic
gathered	ungathered
commercial	noncommercial
unwood	wood
bad_person	good_person
acquit	convict
focused	unfocused
downmarket	upmarket
separation	union
denitrify	nitrify
dissuade	persuade
sexy	unsexy
discouragingly	encouragingly
market_economi	non-market_economi
enterprising	unenterprising
impenitently	penitently
newness	oldness
remark	unremark
arrive	leave
kinanesthesia	kinesthesia
noisily	quietly
involved	uninvolved
inoperable	operable
unwittingly	wittingly
good-natur	ill-natur
acarpel	carpel
defeas	indefeas
benevolence	malevolence
pretentiousness	unpretentiousness
imperfectly	perfectly
disenfranchise	enfranchise
endogenic	exogenic
difficulty	ease
existent	nonexistent
gregari	ungregari
chang	stay
shaded	unshaded
exculpatori	inculpatori
illegibility	legibility
declaratori	interrogatori
composed	discomposed
employe	employ
chaste	unchaste
claim	forfeit
forbid	permit
unwariness	wariness
black-and-white	color
emot	unemot
disciplin	indisciplin
private	public
digestibility	indigestibility
improbable	probable
addressed	unaddressed
egress	ingress
decrease	increase
privately	publicly
motor	unmotor
falsiti	truth
imperviousness	perviousness
tap	untap
clockwise	counterclockwise
numer	verbal
staple	unstaple
felicit	infelicit
desegreg	segreg
confidence	diffidence
split_ticket	straight_ticket
postdat	predat
agreeably	disagreeably
hatless	hat
opisthognath	prognath
illegal	legal
doubl	singl
coordin	incoordin
adequacy	inadequacy
figurative	literal
few	mani
generos	stingi
contentment	discontentment
immodestly	modestly
availability	unavailability
constitutionally	unconstitutionally
feelingly	unfeelingly
agreeable	disagreeable
multilan	single-lan
humorless	humor
defens	offens
leaven	unleaven
nonpolitical	political
impotence	potence
formally	informally
deflationary_spir	inflationary_spir
monophonic	polyphonic
bad_guy	good_guy
equity	inequity
impress	unimpress
insincerity	sincerity
matriarch	patriarch
insufficiency	sufficiency
train	untrain
deregulate	regulate
ashamed	unashamed
virtuou	wick
demobilization	mobilization
complex_instruction_set_computer	reduced_instruction_set_computer
calcicolous	calcifugous
abor	oral
disabling	enabling
reconstructed	unreconstructed
monosemy	polysemy
oblique_angle	right_angle
disingenuous	ingenuous
pleasingness	unpleasingness
scalabl	unscal
dullness	sharpness
ride	walk
avascular	vascular
hypertonia	hypotonia
hypertonic	hypotonic
constrict	unconstrict
monosemi	polysemi
crossed	uncrossed
compartmented	uncompartmented
nidicol	nidifug
apoapsis	periapsis
closing	opening
lower-class	upper-class
conformity	nonconformity
certainty	uncertainty
double-breast	single-breast
immutableness	mutableness
eusporangiate	leptosporangiate
immoderate	moderate
reserved	unreserved
patron	unpatron
equiti	inequ
hypersomnia	insomnia
lock	unlock
agreeabl	disagre
irreversible_process	reversible_process
dry_fli	wet_fli
high	low
effectively	ineffectively
negativity	positivity
bend	straighten
publishable	unpublishable
hit	miss
crimin	decrimin
tan	untan
dry_fly	wet_fly
native	nonnative
commonness	uncommonness
commutable	incommutable
hydrophilic	hydrophobic
awkwardness	gracefulness
intelligible	unintelligible
invulnerability	vulnerability
equivoc	unequivoc
cross-eyed	walleyed
fortunate	unfortunate
delay	rush
digitigrad	plantigrad
gusseted	ungusseted
contempt	estim
justifiably	unjustifiably
aft	fore
overst	underst
grudgingly	ungrudgingly
counterfeit	genuin
immoral	moral
grudgingli	ungrudgingli
exculpatory	inculpatory
maternal	paternal
adsorbent	nonadsorbent
attend	nonattend
tactfulness	tactlessness
abduc	adduc
aerob	anaerob
entozoic	epizoic
tact	tactless
impenitent	penitent
tied	untied
seemli	unseemli
expir	unexpir
familiarity	unfamiliarity
say_farewell	welcome
attent	inattent
exhal	inhal
abranchiate	branchiate
efficiently	inefficiently
extensil	nonextensil
ambiguous	unambiguous
domestic_flight	international_flight
consecrated	desecrated
overdress	underdress
tastefulness	tastelessness
bind	unbind
overgar	undergar
get_up	go_to_b
nontechnical	technical
ametropic	emmetropic
issu	recal
mark	unmark
heterozygosity	homozygosity
acuteness	obtuseness
commut	incommut
allow	deni
naivete	sophistication
anionic	cationic
lined	unlined
irregularity	regularity
unvaried	varied
anabatic	katabatic
rusted	rustless
saturated	unsaturated
institutional	noninstitutional
solv	unsolv
move	still
imperson	person
humaneness	inhumaneness
bracteat	ebract
mark_down	mark_up
repentant	unrepentant
own	unown
dextrorot	levorot
deaden	enliven
flattering	unflattering
fertile	sterile
neurotic	unneurotic
dispens	indispens
contaminated	uncontaminated
accur	inaccur
revived	unrevived
nonwoody	woody
exclusion	inclusion
acycl	cyclic
overvalue	undervalue
decorum	indecorum
dispose	indispose
hyperkalemia	hypokalemia
monoclin	triclin
nonwoodi	woodi
restrain	unrestrain
affectedness	unaffectedness
belted	unbelted
clock_in	clock_out
outbid	underbid
descriptive	undescriptive
orthodox	unorthodox
handl	handleless
spell	unspel
disfluency	fluency
hate	lovabl
functional	organic
dock	undock
fallible	infallible
unwire	wire
legged	legless
adorn	unadorn
front	rear
impaired	unimpaired
documented	undocumented
sworn	unsworn
ground_stroke	volley
presidential	unpresidential
unwoven	woven
comedy	tragedy
immatur	matur
profound	superfici
intelligent	unintelligent
concave	convex
be_well	suffer
trimmed	untrimmed
functional_disord	organic_disord
harness	unharness
truth	untruth
depriv	enrich
nonreciprocal	reciprocal
accompanied	unaccompanied
impract	practic
secured_bond	unsecured_bond
neurotic_depress	psychotic_depress
unwind	wind
activate	inactivate
disord	order
myelin	unmyelin
intellig	stupid
courteou	discourt
lawful	unlawful
dysphor	euphor
decorously	indecorously
related	unrelated
stifl	stimul
disservic	servic
burdened	unburdened
lentic	lotic
narrowness	wideness
furnish	unfurnish
playabl	unplay
impermissibility	permissibility
contralater	ipsilater
thermoplastic	thermosetting
out	safe
allopatric	sympatric
cousinly	uncousinly
weedless	weedi
thrifti	wast
sentiment	unsentiment
high_season	off-season
cerebral	emotional
disentangl	entangl
defend	plaintiff
enforceable	unenforceable
identifi	unidentifi
discharg	enlist
cousinli	uncousinli
bicameral	unicameral
thrifty	wasteful
stay_in_place	travel
amphibi	aquat
hardwar	softwar
insolvent	solvent
adaptive	maladaptive
nonsmoker	smoker
plural	singular
integrated	nonintegrated
immovableness	movableness
end-stopped	run-on
rotor	stator
monophoni	polyphoni
asynchronous_operation	synchronous_operation
insid	outsid
unwieldy	wieldy
crosswis	lengthwis
non-volatile_storag	volatile_storag
forgivingly	unforgivingly
clarify	obfuscate
monophony	polyphony
displeasing	pleasing
disintegr	integr
compressibility	incompressibility
starchless	starchi
apt	inapt
mendac	verac
likelihood	unlikelihood
leaded_gasolin	unleaded_gasolin
charit	uncharit
ioniz	nonion
linguist	nonlinguist
downstage	upstage
unwant	want
immisc	miscibl
nonsectarian	sectarian
credulously	incredulously
illicit	licit
market_economy	non-market_economy
enforc	unenforc
cheapli	expens
at_the_least	at_the_most
ionic	nonion
distinguish	indistinguish
intens	mild
acaud	caudat
insane	sane
explic	inexplic
comedi	tragedi
obscurity	prominence
ethical	unethical
rhythmic	unrhythm
seasonably	unseasonably
overshoot	undershoot
powerful	powerless
owned	unowned
felicitous	infelicitous
lace	unlac
endoergic	exoergic
seasonable	unseasonable
effervescent	noneffervescent
art	artless
good_fortun	misfortun
filial	parent
scent	scentless
ampl	meager
assortative_m	disassortative_m
hyperpnea	hypopnea
illegitimacy	legitimacy
anadromous	diadromous
arbitr	nonarbitr
swept	unswept
monogam	polygam
extrinsic	intrinsic
excusably	inexcusably
Arabic_numeral	Roman_numeral
adopted	native
realistically	unrealistically
talent	untal
attach	detach
attack	defend
intermediate	terminal
intelligence	stupidity
badness	goodness
peduncul	sessil
painful	painless
paved	unpaved
fastidi	unfastidi
high-sudsing	low-sudsing
shell	unshel
gear	ungear
monotheist	polytheist
punish	unpunish
exactly	inexactly
approachable	unapproachable
crosswise	lengthwise
bottom_out	top_out
suitability	unsuitability
baptized	unbaptized
expatriate	repatriate
innumerate	numerate
azonal	zonal
exactli	inexactli
institution	noninstitution
anaphrodisiac	aphrodisiac
loved	unloved
dehydrogen	hydrogen
nonsyllab	syllab
achiever	loser
abnormality	normality
apropo	malapropo
ahistor	histor
infectious	noninfectious
structur	unstructur
discriminating	undiscriminating
emotionality	unemotionality
appealing	unappealing
international_wat	territorial_wat
light	unlight
communicativeness	uncommunicativeness
bare	cover
insignificance	significance
curability	incurability
deoxidis	oxidis
feelingli	unfeelingli
premedit	unpremedit
enforced	unenforced
false	true
ambidextr	left-hand
clip	unclip
good_humor	ill_humor
bisexual	heterosexual
tidy	untidy
coars	fine
comfortable	uncomfortable
fail	pass
intest	testat
bettering	worsening
delineated	undelineated
fissionable	nonfissionable
reserv	unreserv
cosmopolitan	endem
conspicuousness	inconspicuousness
border	unbord
acceleration	deceleration
amphibious	aquatic
automat	manual
afraid	unafraid
deodourise	odourise
awed	unawed
able	unable
denaturalize	naturalize
impur	puriti
nontax	taxabl
caducous	persistent
pretentiously	unpretentiously
analog	heterolog
altrici	precoci
dissuasive	persuasive
no_longer	still
seductive	unseductive
competence	incompetence
accuracy	inaccuracy
nastiness	niceness
sedat	stimul
energet	letharg
repentantly	unrepentantly
fidel	infidel
androgyn	femal
allogen	xenogen
harmful	harmless
awn	awnless
courtesy	discourtesy
international_waters	territorial_waters
connected	disconnected
repentantli	unrepentantli
awe	unaw
inoper	oper
expired	unexpired
talk_into	talk_out_of
nonprescription	prescription
dorsal	ventral
trustiness	untrustiness
discourage	encourage
hyperthyroidism	hypothyroidism
congruity	incongruity
reentrant_angle	salient_angle
enthusiastic	unenthusiastic
atypical	typical
request	unrequest
posterior	prioriti
face	faceless
heterogen	homogen
acroscop	basiscop
hierarchical	nonhierarchical
detransitiv	transitiv
artificially	naturally
determin	undetermin
mechanical	nonmechanical
factory-mad	homemad
satur	unsatur
anti-American	pro-American
affer	effer
thicken	thin
categorematic	syncategorematic
ambiversion	extraversion
insatiate	satiate
bellied	bellyless
indoor	outdoor
crate	uncrat
accustom	unaccustom
centralized	decentralized
employ	unemploy
bring	take_away
tearful	tearless
elig	inelig
reviv	unreviv
empir	theoret
afferent	efferent
nonspati	spatial
rough	smooth
unyoke	yoke
apteral	peripteral
time_off	work_tim
democrat	undemocrat
in_vitro	in_vivo
inspiring	uninspiring
stratified_language	unstratified_language
locat	studio
earned	unearned
denatur	natur
downstairs	upstairs
arenaceous	argillaceous
nonpayment	payment
hopeful	hopeless
brighten	darken
improvidently	providently
reactive	unreactive
destabilisation	stabilisation
planted	unplanted
conclus	inconclus
ambiguity	unambiguity
allopathic	homeopathic
employee	employer
employed	unemployed
inhabit	uninhabit
local	nation
infernal	supernal
inferior	superior
immort	mortal
righteousness	unrighteousness
flash-forward	flashback
improvident	provident
armor	unarmor
pull	push
astigmatism	stigmatism
familiar	unfamiliar
product	unproduct
lucky	unlucky
bear	nonbear
hyperparathyroidism	hypoparathyroidism
joint	separ
commonality	individuality
autogamous	exogamous
humanely	inhumanely
audibility	inaudibility
subscript	superscript
lossless	lossi
anapsid	diapsid
dishearten	hearten
contemptible	estimable
complic	simplifi
adaptability	unadaptability
comb	uncomb
married	unmarried
dejected	elated
diclinous	monoclinous
stuff	unstuff
processed	unprocessed
injur	uninjur
